,Airline_Fares_CPI,Brent_Oil,USD_EUR,log_Airline_Fares_CPI,log_Brent_Oil,log_USD_EUR
2020-02-01,270.587,55.691,1.0911,5.600593673193158,4.019818553985521,0.08718636167891596
2020-03-01,233.537,33.94727272727273,1.1046,5.4533405227998815,3.524808518738819,0.09948327848495014
2020-04-01,196.819,26.84863636363636,1.0871,5.282284524673459,3.290215032463535,0.08351360022781759
2020-05-01,186.931,32.42238095238095,1.0907,5.230739564806036,3.4788489544616215,0.08681969195256017
2020-06-01,192.344,40.86045454545455,1.1259,5.259285435574278,3.7101627137880633,0.1185827158269477
2020-07-01,203.723,43.29565217391304,1.1488,5.3167612280026155,3.7680522182789327,0.13871791931182273
2020-08-01,207.635,45.08142857142857,1.1831,5.335781730530395,3.808470378363979,0.1681381122774801
2020-09-01,205.325,41.92681818181818,1.1785,5.324594089626256,3.7359256742541582,0.16424244339404884
2020-10-01,215.955,41.60681818181818,1.1768,5.375070052646429,3.728264052438708,0.16279889030509076
2020-11-01,221.157,44.05,1.1826,5.398872856537794,3.7853253523821886,0.16771540440459254
2020-12-01,216.188,50.37695652173913,1.2168,5.376148399501883,3.9195338586538506,0.19622446196294613
2021-01-01,209.629,55.2247619047619,1.2178,5.34533930165482,4.011411437929968,0.19704595219233664
2021-02-01,200.387,62.3625,1.2094,5.300250496847062,4.132964133187156,0.1901243688569755
2021-03-01,198.559,65.79608695652173,1.1902,5.291086285182535,4.186560367817065,0.17412136022861457
2021-04-01,216.99,65.53181818181818,1.1965,5.379851269529299,4.182535798459543,0.17940062836629087
2021-05-01,233.479,68.3752380952381,1.2146,5.453092137304318,4.225010742933349,0.19441480448133783
2021-06-01,241.989,73.51272727272728,1.2048,5.488892270578143,4.2974585514014585,0.18631357806349216
2021-07-01,243.685,74.40318181818182,1.1821,5.495876407649412,4.309498707298003,0.16729251777419415
2021-08-01,221.166,70.58818181818182,1.1767,5.398913550781599,4.256862734143831,0.16271391048774625
2021-09-01,206.174,74.74954545454545,1.1765,5.328720472459081,4.314143131376661,0.1625439291852802
2021-10-01,205.656,83.8652380952381,1.16,5.326204870034927,4.429211202172535,0.14842000511827322
2021-11-01,212.465,80.89045454545455,1.1416,5.358777268916615,4.393095826317504,0.13243078718048956
2021-12-01,217.497,74.67826086956522,1.1301,5.382185057330165,4.313189030635422,0.12230612438396812
2022-01-01,219.155,85.62238095238095,1.1317,5.389779242027776,4.449946708697136,0.12372092698975878
2022-02-01,225.27,94.267,1.1349,5.417299682779903,4.546131181415949,0.1265445413249562
2022-03-01,245.329,112.44,1.1019,5.502600166861295,4.722419746038331,0.09703596251159435
2022-04-01,289.163,106.1557142857143,1.0803,5.666990542957238,4.66490701887855,0.07723878034080223
2022-05-01,321.904,112.1136363636364,1.0567,5.7742533644468805,4.719512967315477,0.05515084446484802
2022-06-01,325.19,117.6927272727273,1.0567,5.7844096268933525,4.768077221980978,0.05515084446484802
2022-07-01,312.014,105.2528571428571,1.0168,5.743048058597645,4.656365618444462,0.01666044089310717
2022-08-01,295.112,97.64304347826086,1.0129,5.6873549453037615,4.581318415443119,0.012817503710614343
2022-09-01,294.444,90.60818181818182,0.9899,5.6850888322089475,4.506544516015447,-0.010151351056375355
2022-10-01,294.147,93.71857142857144,0.9853,5.684079642380333,4.54029637055043,-0.014809115653708226
2022-11-01,289.47,90.93863636363636,1.0192,5.6680516647004024,4.510184953382707,0.01901800583576195
2022-12-01,279.086,81.50318181818182,1.0591,5.631519978051626,4.400642060198636,0.05741949086748642
2023-01-01,274.248,84.08181818181818,1.0777,5.6140328065125225,4.431790350761844,0.07482914062064908
2023-02-01,284.722,83.6325,1.0702,5.651513265622334,4.42643220052549,0.06784554689506724
2023-03-01,288.56,79.25652173913043,1.0711,5.664903036595284,4.372689702609726,0.06868615778844686
2023-04-01,286.385,83.536,1.0962,5.657337059413233,4.4252776766681965,0.09184965362987904
2023-05-01,278.395,75.74739130434783,1.0867,5.629040968528871,4.327404005570038,0.08314558108666886
2023-06-01,264.312,74.975,1.084,5.5771302235307525,4.317154724635072,0.08065790301745454
2023-07-01,254.654,80.10904761904762,1.1067,5.539905761041529,4.383388801741024,0.1013826142886026
2023-08-01,256.311,85.16826086956522,1.091,5.546391550903991,4.44462883942549,0.08709470685093373
2023-09-01,255.313,92.67333333333333,1.0672,5.542490243436737,4.529080764880836,0.06503839617922215
2023-10-01,255.623,88.94772727272726,1.0565,5.543703702805579,4.488048863169651,0.054961558073974334
2023-11-01,254.397,82.18636363636364,1.0819,5.538896038943605,4.408989395798792,0.07871875471139075
2023-12-01,252.3,77.54095238095238,1.0909,5.530618855647012,4.350806214614509,0.087003043621574
